,Distance (km),Distance (km).1,Distance (km).2,Caisson Platform,Fixed Platform,Well Protector Platform,Pipeline,Fault,Salt dome,Shipping Route (w/5 MI Buffer),Shipping Route (w/10 mi Buffer),Fault.1,Active Wells,P&A Wells,Caisson Platform.1,Major Platform,Well Protector Platform.1,Pipeline.1,Salt dome.1,EOR Wells,Shipping Route (w/10 mi Buffer).1,Number of plays,(SUM) Injectivity W Depth - (kh),"(SUM) Quality W/O Depth - ([h x E]/[1,000 feet to reservoir bottom])",Capacity per Grid - (million tonnes),Water Depth - (feet),Average Calculated Water Depth - (feet),"(SUM) Hydrocarbon Potential W/O Depth - ([h x So]/[1,000 feet to reservoir bottom])",Recoverable Oil (barrels)/acre foot,(Sum) Projected Remaining OIP - (barrels),New Injectivity (mD/MPa °K),Subsea Depth - (feet),Average Calculated Subsea Depth of Reservoirs - (feet),Sum of injectivity proxy - (kh),"Sum of hydrocarbon potential - ([h x So]/[1,000 feet to reservoir bottom])",Sum of recoverable oil per acre-foot,Projected remaining oil in place (barrels),Pipeline ROW proxy,Density of active caisson platform infrastructure,Density of active well protector platform infrastructure,Density of major active multi-purpose platform infrastructure- major,Distance to closest on-shore CO2 source > 25000 tonnes,Within major shipping route buffer area,Subsea depth - Saline Reservoirs,Water depth - Saline Reservoirs,Subsea depth - Oil Reservoirs,Water depth - Oil Reservoirs,Above salt domes,Active Well Density,P&A Well Density,Faults,Sum of Reservoir Quality W/O Depth (feet),New Injectivity,S1,S3,Viability_score1_quartile,Viability_score3_quartile
0,56.26565172,39.71042069,127.2050466,0,0,0,1,0,0,1,1,0,4,4,0,0,0,2,0,0,5,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,100.0,0.0,0.0,0.0,51.0699,100.0,64.7705,64.8147,64.7705,64.8147,0.0,99.1011,98.3193,100.0,9.1271,12.3958,57.74624306,38.57210002,50,50
1,50.94034588,34.17963509,117.8806924,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,1,4.54,665.86,577,190.4,190.4,0.0,0.0,0,3376965.5,5804,5804.0,0.8352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2718,100.0,67.0898,51.175,67.0898,51.175,0.0,100.0,100.0,100.0,1.5259,1.7557,30.57194503,16.12098334,25,25
2,57.78350713,41.0346219,124.7187947,0,0,0,1,0,0,1,1,0,1,1,0,0,0,2,0,0,5,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0572,100.0,64.7705,64.8147,64.7705,64.8147,0.0,99.7753,99.5798,100.0,9.1271,12.3958,57.670181,38.55906317,50,50
3,53.57451713,37.42891809,115.7408557,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,14,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4002,100.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,32.31288726,14.22277783,25,25
4,60.11858068,43.77446968,122.6941477,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,5,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49.2325,100.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,100.0,9.1271,12.3958,57.59611471,38.50600528,50,50
5,63.34065247,46.85452019,133.9520507,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8182,100.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,100.0,9.1271,12.3958,38.05468126,18.96457183,25,25
6,70.43048359,54.00276216,140.73833,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5824,100.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,33.3311058,15.24099637,25,25
7,77.53107498,61.15369224,147.5584622,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,24.77,2236.34,2102,708.18,177.045,0.0,0.0,0,13795828.89,17431,4357.75,5.9245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3604,100.0,84.9697,55.2884,84.9697,55.2884,0.0,100.0,100.0,100.0,6.7922,10.476,35.11280649,19.00822679,25,25
8,84.63972033,68.30646439,154.4079613,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,4,24.77,2236.34,2102,708.18,177.045,0.0,0.0,0,13795828.89,17431,4357.75,5.9245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.1504,100.0,84.9697,55.2884,84.9697,55.2884,0.0,100.0,100.0,0.0,6.7922,10.476,30.39180616,15.28722646,25,25
9,64.69272284,47.97806624,131.5892603,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.8557,100.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,99.5798,100.0,9.1271,12.3958,37.95003469,18.83891686,25,25
10,71.648888,54.97646048,138.4872724,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6655,100.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,99.5798,0.0,9.1271,12.3958,33.23101043,15.1198926,25,25
11,66.78666361,50.33770251,129.6677886,0,0,1,1,0,0,0,1,0,2,5,0,0,1,1,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,100.0,0.0,20.0,0.0,52.0731,0.0,64.7705,64.8147,64.7705,64.8147,0.0,99.5506,97.8992,100.0,9.1271,12.3958,54.83815422,40.64300277,50,50
12,73.54504197,57.04352742,136.658663,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9206,0.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,30.16492931,15.07481988,25,25
13,78.63954299,62.01120125,145.4089069,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.4849,100.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,100.0,9.1271,12.3958,38.52135174,19.43124231,25,25
